Back,Back
Delete Subscription,Delete Subscription
Reset,Reset
Save and Continue Edit,Save and Continue Edit
Save Subscription,Save Subscription
ID,ID
Price,Price
Position,Position
Subscription Profile View,Subscription Profile View
Information,Information
Subscription Details,Subscription Details
Save Subscription,Save Subscription
Cancel Subscription,Cancel Subscription
Pause Subscription,Pause Subscription
Activate Subscription,Activate Subscription
Subscription Initial Fee,Subscription Initial Fee
Subscription Info,Subscription Info
Subscription Information,Subscription Information
Next Renewal Date,Next Renewal Date
Shipping Address,Shipping Address
Billing Address,Billing Address
Card Details,Card Details
My Subscriptions,My Subscriptions
Edit Subscription Profile #,Edit Subscription Profile #
Subscription Profile #,Subscription Profile #
The subscription can’t be deleted because of associated products,The subscription can’t be deleted because of associated products
You deleted the subscription.,You deleted the subscription.
Something went wrong while editing the subscription.,Something went wrong while editing the subscription.
New Subscription,New Subscription
Subscriptions,Subscriptions
Manage Subscriptions,Manage Subscriptions
Please correct the data sent.,Please correct the data sent.
You saved the subscription.,You saved the subscription.
A total of %1 record(s) were not deleted because of associated products,A total of %1 record(s) were not deleted because of associated products
A total of %1 record(s) were deleted.,A total of %1 record(s) were deleted.
%1 products were not deleted because they have some associated subscription plans and subscription profiles.,%1 products were not deleted because they have some associated subscription plans and subscription profiles.
%1 products were not deleted because they have some associated subscription plans.,%1 products were not deleted because they have some associated subscription plans.
%1 products were not deleted  because they have some associated subscription profiles.,%1 products were not deleted  because they have some associated subscription profiles.
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.
Unable to save product,Unable to save product
You saved the product.,You saved the product.
You duplicated the product.,You duplicated the product.
The image cannot be removed as it has been assigned to the other image role,The image cannot be removed as it has been assigned to the other image role
Subscription Status Change Email Sent Successfully %1,Subscription Status Change Email Sent Successfully %1
Email configuration is disabled,Email configuration is disabled
Subscription Profile #%1 Activated Successfully.,Subscription Profile #%1 Activated Successfully.
Subscription Status Change Email Sent Successfully %1,Subscription Status Change Email Sent Successfully %1
Subscription Profile #%1 Canceled Successfully.,Subscription Profile #%1 Canceled Successfully.
Manage Subscription Sale,Manage Subscription Sale
Subscription Profile #%1 Paused Successfully.,Subscription Profile #%1 Paused Successfully.
Subscription Profile #%1 Saved Successfully.,Subscription Profile #%1 Saved Successfully.
Product %1 Unsubscibed Successfully,Product %1 Unsubscibed Successfully
'We can\''t remove the item.','We can\''t remove the item.'
The Product have already been Unsubscribed,The Product have already been Unsubscribed
Subscription Profile #%1 Reactivated Successfully.,Subscription Profile #%1 Reactivated Successfully.
Subscription Profile #%1 Cancelled Successfully.,Subscription Profile #%1 Cancelled Successfully.
Subscription Profile #%1 Updated Successfully.,Subscription Profile #%1 Updated Successfully.
Cancel,Cancel
Activate,Activate
Pause,Pause
Completed,Completed
N/A,N/A
Please Select Address,Please Select Address
--- Please Select ---,--- Please Select ---
Reminder Email,Reminder Email
Billing Failed Email,Billing Failed Email
Payment Failed Email,Payment Failed Email
Status Change by Admin ? Email to Customer,Status Change by Admin ? Email to Customer
Status Change by Customer ? Email to Merchant,Status Change by Customer ? Email to Merchant
Subscription order placed Successfully order#%1,Subscription order placed Successfully order#%1
No collection found for the date %1 .,No collection found for the date %1 .
Cron reminder email configuration is disabled,Cron reminder email configuration is disabled
Subscription Email sent Successfully %1,Subscription Email sent Successfully %1
Could not save the Product: %1,Could not save the Product: %1
"Product with id ""%1"" does not exist.","Product with id ""%1"" does not exist."
No,No
Subscription Only,Subscription Only
Optional,Optional
Could not save the subscription: %1,Could not save the subscription: %1
"Subscription with id ""%1"" does not exist.","Subscription with id ""%1"" does not exist."
Quantity was recalculated from %1 to %2,Quantity was recalculated from %1 to %2
